order_id,partner_id,promised_sla_minutes,actual_fulfillment_minutes,is_late
6168884918,DP0041,50.0,43.1,0.0
6170707559,DP0041,45.0,29.7,0.0
6169375019,DP0005,40.0,33.9,0.0
6151677434,DP0029,45.0,30.1,0.0
6167540897,DP0016,45.0,28.8,0.0
6164725184,DP0041,40.0,30.2,0.0
6151460444,DP0041,55.0,36.2,0.0
6167255032,DP0049,45.0,23.3,0.0
6167184688,DP0034,40.0,33.2,0.0
6163081676,DP0041,40.0,22.5,0.0
6164758457,DP0041,55.0,39.2,0.0
6159645418,DP0008,45.0,33.5,0.0
6163201423,DP0041,50.0,37.0,0.0
6161956272,DP0041,50.0,47.0,0.0
6153489136,DP0043,50.0,41.9,0.0
6163049565,DP0024,50.0,44.0,0.0
6155177885,DP0015,55.0,40.4,0.0
6156719166,DP0041,50.0,44.1,0.0
6158533370,DP0041,50.0,29.1,0.0
6152228975,DP0027,55.0,29.9,0.0
6157229636,DP0006,45.0,22.5,0.0
6160420881,DP0044,45.0,28.5,0.0
6158429833,DP0033,55.0,48.9,0.0
6156152215,DP0041,45.0,33.3,0.0
6159249185,DP0043,50.0,49.8,0.0
6159181202,DP0041,50.0,25.0,0.0
6158034744,DP0041,40.0,18.6,0.0
6144978141,DP0015,50.0,29.8,0.0
6155011355,DP0041,65.0,36.5,0.0
6157562143,DP0041,50.0,34.2,0.0
6155576594,DP0015,50.0,22.7,0.0
6149438913,DP0010,40.0,33.4,0.0
6157743878,DP0049,50.0,23.9,0.0
6158241703,DP0041,45.0,33.0,0.0
6156620875,DP0019,50.0,24.4,0.0
6154403375,DP0050,55.0,68.6,1.0
6154147762,DP0048,40.0,56.3,1.0
6150715172,DP0041,50.0,23.3,0.0
6150789630,DP0043,40.0,28.0,0.0
6151158050,DP0013,60.0,58.5,0.0
6155965734,DP0019,50.0,25.9,0.0
6155526018,DP0041,60.0,31.7,0.0
6146261091,DP0043,50.0,37.9,0.0
6155286499,DP0043,65.0,51.2,0.0
6155319009,DP0034,50.0,26.5,0.0
6155343744,DP0043,40.0,19.2,0.0
6151641967,DP0043,45.0,19.1,0.0
6152673880,DP0043,55.0,46.1,0.0
6145690912,DP0041,60.0,41.1,0.0
6152587141,DP0041,70.0,56.2,0.0
6143319424,DP0041,70.0,46.2,0.0
6152649630,DP0029,50.0,27.2,0.0
6146501186,DP0044,65.0,43.1,0.0
6145930056,DP0048,65.0,61.0,0.0
6145885503,DP0019,70.0,50.6,0.0
6153460436,DP0021,70.0,52.3,0.0
6149384788,DP0041,40.0,28.1,0.0
6153295379,DP0039,45.0,31.1,0.0
6151765091,DP0050,50.0,40.2,0.0
6151170863,DP0010,40.0,44.7,1.0
6148418552,DP0003,40.0,29.4,0.0
6151566063,DP0041,45.0,40.2,0.0
6145781285,DP0011,45.0,36.2,0.0
6151947675,DP0028,40.0,26.7,0.0
6149007950,DP0041,50.0,30.8,0.0
6147952636,DP0041,40.0,19.2,0.0
6146517611,DP0021,55.0,31.4,0.0
6147223342,DP0041,50.0,28.5,0.0
6148317461,DP0041,45.0,25.2,0.0
6150575094,DP0041,40.0,44.1,1.0
6147352865,DP0018,50.0,40.3,0.0
6152604746,DP0041,50.0,29.3,0.0
6125480550,DP0048,50.0,33.2,0.0
6147529218,DP0041,40.0,19.9,0.0
6151551465,DP0043,60.0,33.8,0.0
6145952899,DP0039,40.0,23.8,0.0
6152451484,DP0027,50.0,31.6,0.0
6145028896,DP0041,60.0,32.5,0.0
6143017232,DP0041,45.0,18.5,0.0
6146212039,DP0043,60.0,48.0,0.0
6146853616,DP0015,65.0,46.9,0.0
6130555847,DP0041,40.0,25.9,0.0
6151773822,DP0041,45.0,39.9,0.0
6143779367,DP0041,45.0,26.0,0.0
6146106285,DP0005,50.0,38.6,0.0
6146094951,DP0050,60.0,62.8,1.0
6148163639,DP0041,60.0,48.1,0.0
6147899210,DP0019,40.0,22.8,0.0
6150311284,DP0043,40.0,36.2,0.0
6149415596,DP0041,50.0,43.2,0.0
6150898091,DP0047,40.0,45.9,1.0
6143948696,DP0025,40.0,64.1,1.0
6147557942,DP0041,60.0,37.7,0.0
6148529759,DP0041,55.0,46.8,0.0
6150238934,DP0048,65.0,69.6,1.0
6146697877,DP0005,65.0,49.6,0.0
6145306142,DP0021,60.0,47.8,0.0
6149979442,DP0013,50.0,39.8,0.0
6145994013,DP0019,45.0,31.0,0.0
6150183759,DP0041,50.0,40.0,0.0
6144643572,DP0029,50.0,25.1,0.0
6137428219,DP0033,50.0,24.0,0.0
6141943607,DP0043,45.0,25.8,0.0
6145238773,DP0043,65.0,60.2,0.0
6142278831,DP0005,45.0,35.4,0.0
6146100417,DP0015,45.0,48.7,1.0
6147028506,DP0041,55.0,31.0,0.0
6145190300,DP0028,50.0,41.1,0.0
6144881186,DP0019,50.0,36.0,0.0
6145582608,DP0019,65.0,31.8,0.0
6141922791,DP0023,50.0,34.3,0.0
6141318955,DP0043,45.0,27.2,0.0
6145627993,DP0008,40.0,29.3,0.0
6140918262,DP0041,50.0,25.8,0.0
6143587716,DP0041,45.0,25.8,0.0
6141317336,DP0020,40.0,24.8,0.0
6143870258,DP0038,45.0,29.9,0.0
6144280420,DP0019,50.0,26.1,0.0
6144589662,DP0041,50.0,36.2,0.0
6134811002,DP0005,50.0,61.8,1.0
6137221693,DP0002,55.0,54.6,0.0
6143808250,DP0041,50.0,39.1,0.0
6143301652,DP0014,55.0,47.2,0.0
6129647327,DP0005,50.0,24.8,0.0
6129115176,DP0033,60.0,30.1,0.0
6138727282,DP0005,70.0,47.5,0.0
6141878957,DP0043,40.0,28.5,0.0
6128060895,DP0004,45.0,43.9,0.0
6161928381,DP0041,55.0,36.3,0.0
