order_id,partner_id,promised_sla_minutes,actual_fulfillment_minutes,is_late
6573391991,DP0007,50.0,31.2,0.0
6573391992,DP0041,50.0,32.6,0.0
6573391993,DP0008,50.0,33.2,0.0
6573391994,DP0017,50.0,37.2,0.0
6573391995,DP0024,50.0,44.6,0.0
6573391996,DP0043,50.0,36.3,0.0
6573391997,DP0041,50.0,35.4,0.0
6573391998,DP0041,60.0,34.1,0.0
6573391999,DP0004,60.0,66.5,1.0
6573392000,DP0041,60.0,31.5,0.0
6573392001,DP0033,60.0,49.7,0.0
6573392002,DP0041,60.0,52.2,0.0
6573392003,DP0019,60.0,50.1,0.0
6573392004,DP0005,60.0,50.1,0.0
6573392005,DP0043,50.0,36.7,0.0
6573392006,DP0015,55.0,27.3,0.0
6573392007,DP0034,60.0,55.6,0.0
6573392008,DP0022,60.0,55.4,0.0
6573392009,DP0005,60.0,41.7,0.0
6573392010,DP0043,60.0,53.5,0.0
6573392011,DP0043,75.0,48.9,0.0
6573392012,DP0048,75.0,61.9,0.0
6573392013,DP0032,75.0,49.8,0.0
6573392014,DP0047,75.0,49.5,0.0
6573392015,DP0039,55.0,30.4,0.0
6573392016,DP0041,55.0,32.3,0.0
6573392017,DP0005,55.0,31.3,0.0
6573392018,DP0043,55.0,33.7,0.0
6573392019,DP0020,55.0,30.8,0.0
6573392020,DP0019,40.0,21.9,0.0
6573392021,DP0002,40.0,21.6,0.0
6573392022,DP0041,40.0,24.8,0.0
6573392023,DP0041,40.0,25.0,0.0
6573392024,DP0041,40.0,20.6,0.0
6573392025,DP0048,40.0,33.5,0.0
6573392026,DP0043,40.0,25.3,0.0
6573392027,DP0043,40.0,28.2,0.0
6573392028,,,,
6573392029,DP0007,40.0,23.5,0.0
6573392030,DP0012,40.0,26.6,0.0
6573392031,DP0047,40.0,28.2,0.0
6573392032,DP0036,40.0,28.2,0.0
6573392033,DP0043,40.0,24.4,0.0
6573392034,DP0041,55.0,27.1,0.0
6573392035,DP0041,55.0,35.7,0.0
6573392036,DP0019,40.0,26.4,0.0
6573392037,DP0043,40.0,24.0,0.0
6573392038,DP0015,40.0,25.9,0.0
6573392039,DP0034,40.0,29.2,0.0
6573392040,DP0050,40.0,53.4,1.0
6573392041,DP0041,45.0,28.6,0.0
6573392042,DP0039,45.0,33.6,0.0
6573392043,DP0041,45.0,32.8,0.0
6573392044,DP0036,80.0,43.3,0.0
6573392045,DP0041,55.0,36.7,0.0
6573392046,DP0034,55.0,33.1,0.0
6573392047,DP0041,55.0,29.2,0.0
6573392048,DP0041,55.0,40.7,0.0
6573392049,DP0041,55.0,34.6,0.0
6573392050,DP0041,50.0,33.3,0.0
6573392051,DP0015,50.0,30.0,0.0
6573392052,DP0015,65.0,42.3,0.0
6573392053,DP0041,65.0,45.3,0.0
6573392054,DP0019,60.0,42.5,0.0
6573392055,DP0041,60.0,39.3,0.0
6573392056,DP0020,60.0,46.1,0.0
6573392057,DP0008,60.0,52.9,0.0
6573392058,DP0034,60.0,57.2,0.0
6573392059,DP0021,45.0,40.6,0.0
6573392060,DP0018,60.0,40.4,0.0
6573392061,DP0041,65.0,39.2,0.0
6573392062,DP0018,65.0,43.9,0.0
6573392063,DP0041,55.0,47.1,0.0
6573392064,DP0041,55.0,58.5,1.0
6573392065,DP0041,55.0,59.4,1.0
6573392066,DP0006,55.0,45.4,0.0
6573392067,DP0044,50.0,43.5,0.0
6573392068,DP0041,50.0,35.3,0.0
6573392069,DP0043,50.0,31.7,0.0
6573392070,DP0015,50.0,43.4,0.0
6573392071,DP0041,40.0,40.6,1.0
6573392072,DP0047,50.0,35.9,0.0
6573392073,DP0050,50.0,52.9,1.0
6573392074,DP0003,55.0,38.9,0.0
6573392075,DP0041,55.0,51.2,0.0
6573392076,DP0019,55.0,52.8,0.0
6573392077,DP0005,55.0,51.2,0.0
6573392078,DP0041,55.0,50.4,0.0
6573392079,DP0002,55.0,42.0,0.0
6573392080,DP0041,55.0,38.8,0.0
6573392081,DP0043,45.0,18.6,0.0
6573392082,DP0043,55.0,30.0,0.0
6573392083,DP0047,55.0,26.0,0.0
6573392084,DP0041,55.0,27.6,0.0
6573392085,DP0012,55.0,31.3,0.0
6573392086,DP0039,55.0,25.6,0.0
6573392087,DP0043,55.0,32.0,0.0
6573392088,DP0019,55.0,27.9,0.0
6573392089,DP0039,55.0,38.7,0.0
6573392090,DP0041,55.0,51.8,0.0
6573392091,DP0007,45.0,37.4,0.0
6573392092,DP0041,40.0,28.2,0.0
6573392093,DP0005,50.0,24.3,0.0
6573392094,DP0021,50.0,30.6,0.0
6573392095,DP0041,50.0,23.7,0.0
6573392096,DP0041,40.0,28.7,0.0
6573392097,DP0044,55.0,34.0,0.0
6573392098,DP0041,55.0,34.9,0.0
6573392099,DP0015,55.0,37.6,0.0
6573392100,DP0043,55.0,35.1,0.0
6573392101,DP0041,55.0,33.9,0.0
6573392102,DP0043,55.0,39.0,0.0
6573392103,DP0043,55.0,48.4,0.0
6573392104,DP0042,50.0,30.1,0.0
6573392105,DP0033,50.0,27.9,0.0
6573392106,DP0041,50.0,36.1,0.0
6573392107,DP0038,50.0,25.5,0.0
6573392108,DP0041,50.0,43.5,0.0
6573392109,DP0041,50.0,39.6,0.0
6573392110,DP0008,50.0,28.9,0.0
6573392111,DP0041,40.0,32.6,0.0
6573392112,DP0015,40.0,29.7,0.0
6573392113,DP0041,45.0,37.9,0.0
6573392114,DP0007,45.0,32.0,0.0
6573392115,DP0002,55.0,39.6,0.0
6573392116,DP0026,50.0,36.8,0.0
6573392117,DP0048,55.0,50.1,0.0
6573392118,DP0041,50.0,43.4,0.0
6573392119,DP0037,50.0,30.1,0.0
6573392120,DP0008,50.0,37.4,0.0
6573392121,DP0005,50.0,32.1,0.0
6573392122,DP0041,50.0,32.0,0.0
6573392123,DP0043,50.0,33.8,0.0
6573392124,DP0002,50.0,28.4,0.0
6573392125,DP0041,50.0,36.1,0.0
6573392126,DP0041,45.0,29.4,0.0
6573392127,DP0019,45.0,31.9,0.0
6573392128,DP0041,60.0,44.8,0.0
6573392129,DP0041,40.0,26.2,0.0
6573392130,DP0041,40.0,13.7,0.0
6573392131,DP0031,40.0,34.2,0.0
6573392132,DP0005,40.0,39.2,0.0
6573392133,DP0041,40.0,36.8,0.0
6573392134,DP0041,40.0,30.6,0.0
6573392135,DP0012,40.0,16.0,0.0
6573392136,DP0005,80.0,68.0,0.0
6573392137,DP0041,80.0,57.8,0.0
6573392138,DP0025,80.0,58.7,0.0
6573392139,DP0015,80.0,69.5,0.0
6573392140,DP0006,80.0,69.2,0.0
6573392141,DP0043,80.0,68.7,0.0
6573392142,DP0028,80.0,54.1,0.0
6573392143,DP0041,65.0,42.0,0.0
6573392144,DP0003,65.0,44.0,0.0
6573392145,DP0001,65.0,42.3,0.0
6573392146,DP0043,65.0,38.5,0.0
6573392147,DP0041,60.0,35.8,0.0
6573392148,DP0050,60.0,55.4,0.0
6573392149,DP0041,50.0,28.2,0.0
6573392150,DP0009,50.0,23.4,0.0
6573392151,DP0046,60.0,67.8,1.0
6573392152,DP0009,60.0,49.4,0.0
6573392153,DP0028,50.0,35.2,0.0
6573392154,DP0043,55.0,41.9,0.0
6573392155,DP0005,55.0,45.6,0.0
6573392156,DP0040,55.0,48.3,0.0
6573392157,DP0043,55.0,34.3,0.0
6573392158,DP0023,55.0,49.2,0.0
6573392159,DP0047,55.0,32.9,0.0
6573392160,DP0050,55.0,47.0,0.0
6573392161,DP0041,60.0,43.6,0.0
6573392162,DP0023,60.0,39.0,0.0
6573392163,DP0048,60.0,71.3,1.0
6573392164,DP0050,60.0,57.6,0.0
6573392165,DP0039,50.0,46.2,0.0
6573392166,DP0005,55.0,33.4,0.0
6573392167,DP0039,45.0,33.0,0.0
6573392168,DP0041,45.0,35.3,0.0
6573392169,DP0041,45.0,33.2,0.0
6573392170,DP0041,45.0,28.2,0.0
6573392171,DP0048,45.0,56.9,1.0
6573392172,DP0041,45.0,31.5,0.0
6573392173,DP0006,45.0,32.0,0.0
6573392174,DP0041,55.0,34.0,0.0
6573392175,DP0015,55.0,46.3,0.0
6573392176,DP0041,55.0,38.8,0.0
6573392177,DP0027,55.0,33.0,0.0
6573392178,DP0041,70.0,60.4,0.0
6573392179,DP0041,40.0,30.6,0.0
6573392180,DP0010,40.0,17.5,0.0
6573392181,DP0041,45.0,32.5,0.0
6573392182,DP0009,45.0,24.4,0.0
6573392183,DP0041,45.0,28.8,0.0
6573392184,DP0025,40.0,25.8,0.0
6573392185,DP0041,40.0,23.4,0.0
6573392186,DP0042,40.0,26.6,0.0
6573392187,DP0048,40.0,36.4,0.0
6573392188,DP0024,40.0,19.7,0.0
