partner_id,vehicle_type,home_subzone,join_date
DP0001,Bike,Sikandarpur,2024-04-22
DP0002,Bicycle,Greater Kailash 2 (GK2),2024-04-22
DP0003,Scooter,Greater Kailash 2 (GK2),2024-08-30
DP0004,Scooter,Sector 135,2024-06-01
DP0005,Bike,Greater Kailash 2 (GK2),2024-09-27
DP0006,Bike,Greater Kailash 2 (GK2),2024-08-22
DP0007,Bike,Shahdara,2024-09-04
DP0008,Scooter,Sector 135,2024-05-20
DP0009,Scooter,Shahdara,2024-03-15
DP0010,Scooter,Sikandarpur,2024-07-22
DP0011,Bike,Chittaranjan Park,2024-09-20
DP0012,Bicycle,Sikandarpur,2024-04-23
DP0013,Scooter,Chittaranjan Park,2024-08-30
DP0014,Bike,Shahdara,2024-08-15
DP0015,Bike,Sikandarpur,2024-05-04
DP0016,Bike,Sector 135,2024-08-01
DP0017,Bike,Sector 4,2024-02-29
DP0018,Bike,Shahdara,2024-08-26
DP0019,Bike,Chittaranjan Park,2024-06-25
DP0020,Bike,Vasant Kunj,2024-04-13
DP0021,Scooter,Chittaranjan Park,2024-06-20
DP0022,Bike,Vasant Kunj,2024-03-02
DP0023,Bike,Greater Kailash 2 (GK2),2024-02-26
DP0024,Bike,Sikandarpur,2024-08-28
DP0025,Bike,Vasant Kunj,2024-03-23
DP0026,Scooter,Chittaranjan Park,2024-02-18
DP0027,Bike,Greater Kailash 2 (GK2),2024-06-23
DP0028,Bike,Sector 4,2024-04-10
DP0029,Scooter,Sector 135,2024-03-10
DP0030,Bike,Sector 135,2024-05-24
DP0031,Scooter,Sector 135,2024-10-01
DP0032,Bike,Vasant Kunj,2024-09-27
DP0033,Bike,Sector 4,2024-02-27
DP0034,Bicycle,Vasant Kunj,2024-05-13
DP0035,Bicycle,Sikandarpur,2024-06-21
DP0036,Scooter,Vasant Kunj,2024-09-05
DP0037,Bike,Sector 4,2024-05-18
DP0038,Bike,Sector 4,2024-03-09
DP0039,Scooter,Sikandarpur,2024-09-17
DP0040,Bike,Sector 4,2024-07-04
DP0041,Bike,Chittaranjan Park,2024-08-21
DP0042,Bike,Sector 4,2024-05-31
DP0043,Bike,Sector 135,2024-03-11
DP0044,Bicycle,Chittaranjan Park,2024-04-06
DP0045,Bike,Chittaranjan Park,2024-07-31
DP0046,Scooter,Sikandarpur,2024-06-28
DP0047,Bike,DLF Phase 1,2024-08-11
DP0048,Bike,DLF Phase 1,2024-06-28
DP0049,Bike,Sector 4,2024-05-23
DP0050,Bike,Chittaranjan Park,2024-02-23
