Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6573391991,"01:38 AM, February 18 2025",Delivered,Zomato Delivery,3km,"1 x Tripple Cheese Pizza, 1 x Masala Potato Pide, 1 x Malai Gud Pide",,Flat 15% off,1467.0,63.45,198.05,0.0,0.0,0.0,1332.4,,,,,,14.63,6.1,Correctly,,001ab5fc3ee158b4d22e106897cee9b355e6eed50f163e65265a5f01fa426b54
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6573391992,"01:38 AM, March 17 2025",Delivered,Zomato Delivery,3km,"1 x Tripple Cheese Pizza, 1 x Masala Potato Pide, 1 x Malai Gud Pide",,Flat 15% off,1467.0,63.45,198.05,0.0,0.0,0.0,1332.4,,,,,,14.63,6.1,Correctly,,001ab5fc3ee158b4d22e106897cee9b355e6eed50f163e65265a5f01fa426b54
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6573391993,"01:38 AM, April 28 2025",Delivered,Zomato Delivery,3km,"1 x Tripple Cheese Pizza, 1 x Masala Potato Pide, 1 x Malai Gud Pide",,Flat 15% off,1467.0,63.45,198.05,0.0,0.0,0.0,1332.4,,,,,,14.63,6.1,Correctly,,001ab5fc3ee158b4d22e106897cee9b355e6eed50f163e65265a5f01fa426b54
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573391994,"02:22 AM, February 19 2025",Delivered,Zomato Delivery,4km,1 x Bageecha Pizza,,50% off upto Rs.100,659.0,28.45,90.0,0.0,0.0,0.0,597.45,,,,,,12.87,7.7,Correctly,,00970ac576a61ad811766a1529fa6f3233450dd17d194f9a2b2d3739b7e2f239
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573391995,"02:22 AM, March 26 2025",Delivered,Zomato Delivery,4km,1 x Bageecha Pizza,,50% off upto Rs.100,659.0,28.45,90.0,0.0,0.0,0.0,597.45,,,,,,12.87,7.7,Correctly,,00970ac576a61ad811766a1529fa6f3233450dd17d194f9a2b2d3739b7e2f239
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573391996,"02:22 AM, April 03 2025",Delivered,Zomato Delivery,4km,1 x Bageecha Pizza,,50% off upto Rs.100,659.0,28.45,90.0,0.0,0.0,0.0,597.45,,,,,,12.87,7.7,Correctly,,00970ac576a61ad811766a1529fa6f3233450dd17d194f9a2b2d3739b7e2f239
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6573391997,"02:22 AM, May 04 2025",Delivered,Zomato Delivery,4km,1 x Bageecha Pizza,,50% off upto Rs.100,659.0,28.45,90.0,0.0,0.0,0.0,597.45,,,,,,12.87,7.7,Correctly,,00970ac576a61ad811766a1529fa6f3233450dd17d194f9a2b2d3739b7e2f239
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6573391998,"06:53 PM, February 16 2025",Delivered,Zomato Delivery,7km,"1 x Grilled Chicken Angara Tenders + Salted Fries, 1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries",,Buy 1 Get 1 - ₹435.00,465.0,23.25,0.0,0.0,0.0,0.0,488.25,,,,,,9.33,1.0,Correctly,,00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6573391999,"07:16 PM, March 03 2025",Delivered,Zomato Delivery,7km,"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Classic Tender",,Buy 1 Get 1 - ₹310.00,325.0,16.25,0.0,0.0,0.0,0.0,341.25,,,,,,19.67,7.6,Correctly,,00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578
20554001,SWAAD,Greater Kailash 2 (GK2),Delhi NCR,6573392000,"07:21 PM, April 10 2025",Delivered,Zomato Delivery,7km,"1 x Grilled Chicken Jamaican Tender, 1 x Fried Chicken Peri Peri Tender",,Buy 1 Get 1 - ₹310.00,325.0,16.25,0.0,0.0,0.0,0.0,341.25,,,,,,12.47,0.3,Correctly,,00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578
