Restaurant ID,Restaurant name,Subzone,City
20320607,Swaad,Sector 4,Delhi NCR
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR
20659868,Aura Pizzas,Sector 4,Delhi NCR
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR
20882713,Swaad,DLF Phase 1,Delhi NCR
20968194,Dilli Burger Adda,Sector 4,Delhi NCR
20968206,Dilli Burger Adda,Greater Kailash 2 (GK2),Delhi NCR
21077127,Aura Pizzas,Sector 135,Delhi NCR
21145152,Tandoori Junction,Sector 4,Delhi NCR
21173951,Aura Pizzas,Vasant Kunj,Delhi NCR
21309083,Swaad,Sector 135,Delhi NCR
21350931,Tandoori Junction,DLF Phase 1,Delhi NCR
21143186,Tandoori Junction,Greater Kailash 2 (GK2),Delhi NCR
20968171,Dilli Burger Adda,DLF Phase 1,Delhi NCR
21114574,Dilli Burger Adda,Sector 135,Delhi NCR
21424296,Tandoori Junction,Shahdara,Delhi NCR
21467269,The Chicken Junction,Sector 4,Delhi NCR
21523055,Masala Junction,Sector 4,Delhi NCR
